name,region,variable,value
Marshall Islands,Australia and Oceania,life_expectancy,75.2
Botswana,Africa,maternal_mortality,155
Botswana,Africa,infant_mortality,27.8
Botswana,Africa,life_expectancy,66.4
Bolivia,South America,maternal_mortality,146
Bolivia,South America,infant_mortality,22.1
Bolivia,South America,life_expectancy,72.5
Nepal,South Asia,maternal_mortality,142
Nepal,South Asia,infant_mortality,23.4
Nepal,South Asia,life_expectancy,73
Indonesia,East and Southeast Asia,maternal_mortality,140
Indonesia,East and Southeast Asia,infant_mortality,18.5
Indonesia,East and Southeast Asia,life_expectancy,73.6
Namibia,Africa,maternal_mortality,139
Namibia,Africa,infant_mortality,27.1
Namibia,Africa,life_expectancy,65.9
Cambodia,East and Southeast Asia,maternal_mortality,137
Cambodia,East and Southeast Asia,infant_mortality,27.2
Cambodia,East and Southeast Asia,life_expectancy,71.4
Jamaica,Central America and the Caribbean,maternal_mortality,130
Jamaica,Central America and the Caribbean,infant_mortality,14.5
Jamaica,Central America and the Caribbean,life_expectancy,76.3
"Micronesia, Federated States of",Australia and Oceania,maternal_mortality,129
"Micronesia, Federated States of",Australia and Oceania,infant_mortality,20.4
"Micronesia, Federated States of",Australia and Oceania,life_expectancy,75
Dominican Republic,Central America and the Caribbean,maternal_mortality,124
Dominican Republic,Central America and the Caribbean,infant_mortality,20.8
Dominican Republic,Central America and the Caribbean,life_expectancy,72.6
Solomon Islands,Australia and Oceania,maternal_mortality,123
Solomon Islands,Australia and Oceania,infant_mortality,18.6
Solomon Islands,Australia and Oceania,life_expectancy,77.2
South Africa,Africa,maternal_mortality,118
South Africa,Africa,infant_mortality,19.7
South Africa,Africa,life_expectancy,71.9
Eswatini,Africa,maternal_mortality,118
Eswatini,Africa,infant_mortality,38
Eswatini,Africa,life_expectancy,60.7
Yemen,Middle East,maternal_mortality,118
Yemen,Middle East,infant_mortality,42.4
Yemen,Middle East,life_expectancy,68.2
Bangladesh,South Asia,maternal_mortality,115
Bangladesh,South Asia,infant_mortality,22
Bangladesh,South Asia,life_expectancy,75.2
Laos,East and Southeast Asia,maternal_mortality,112
Laos,East and Southeast Asia,infant_mortality,34.2
Laos,East and Southeast Asia,life_expectancy,69
Samoa,Australia and Oceania,maternal_mortality,101
Samoa,Australia and Oceania,infant_mortality,17.2
Samoa,Australia and Oceania,life_expectancy,75.7
Vanuatu,Australia and Oceania,maternal_mortality,100
Vanuatu,Australia and Oceania,infant_mortality,13.4
Vanuatu,Australia and Oceania,life_expectancy,75.7
Guatemala,Central America and the Caribbean,maternal_mortality,94
Guatemala,Central America and the Caribbean,infant_mortality,23.4
Guatemala,Central America and the Caribbean,life_expectancy,73.5
Palau,Australia and Oceania,maternal_mortality,89
Palau,Australia and Oceania,infant_mortality,10.6
Palau,Australia and Oceania,life_expectancy,75.2
Zambia,Africa,maternal_mortality,85
Zambia,Africa,infant_mortality,30.1
Zambia,Africa,life_expectancy,66.9
Philippines,East and Southeast Asia,maternal_mortality,84
Philippines,East and Southeast Asia,infant_mortality,18.5
Philippines,East and Southeast Asia,life_expectancy,70.8
Suriname,South America,maternal_mortality,84
Suriname,South America,infant_mortality,29.3
Suriname,South America,life_expectancy,72.7
Mozambique,Africa,maternal_mortality,82
Mozambique,Africa,infant_mortality,56.7
Mozambique,Africa,life_expectancy,58.3
Kiribati,Australia and Oceania,maternal_mortality,80
Kiribati,Australia and Oceania,infant_mortality,30.8
Kiribati,Australia and Oceania,life_expectancy,68.5
India,South Asia,maternal_mortality,80
India,South Asia,infant_mortality,30.5
India,South Asia,life_expectancy,68.2
"Bahamas, The",Central America and the Caribbean,maternal_mortality,76
"Bahamas, The",Central America and the Caribbean,infant_mortality,9.2
"Bahamas, The",Central America and the Caribbean,life_expectancy,76.7
Guyana,South America,maternal_mortality,75
Guyana,South America,infant_mortality,20.6
Guyana,South America,life_expectancy,72.4
Sao Tome and Principe,Africa,maternal_mortality,75
Sao Tome and Principe,Africa,infant_mortality,41.7
Sao Tome and Principe,Africa,life_expectancy,67.7
Saint Kitts and Nevis,Central America and the Caribbean,maternal_mortality,74
Saint Kitts and Nevis,Central America and the Caribbean,infant_mortality,7.9
Saint Kitts and Nevis,Central America and the Caribbean,life_expectancy,77.6
